"Date","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
2018-01-01,0.342730299835405,1.3716913488003e-17,5.68044998192049e-22,0,3.28291532742256e-21,1.86502873914794e-22,0.657269700164595,2.24002227150664e-21,2.92320352925095e-18,1.25027355754425e-18,8.2967418300891e-17,2.12236465123946e-18,2.8199850440035e-18,3.00000781181684e-18,2.96851154585311e-18
2018-07-01,1.93542918529251e-25,5.00122279489468e-24,5.9054505924137e-24,1.8344536488837e-24,0.049853991624081,7.85321775749795e-24,0.453875818121931,0.0586468933847626,0.162444318423794,1.08066407149213e-24,0.275178978445432,4.8470080698575e-26,2.72315497059038e-24,3.89632146080061e-24,1.26864263456572e-24
2019-01-01,6.80219368886758e-24,4.57020912892239e-25,2.07809524080638e-23,2.98593205452739e-24,1.97511969614843e-23,1.22169876533742e-23,0.357333395175918,1.16962079383439e-23,1.32777671136325e-23,0.136254889264046,7.31020597588341e-24,1.76387487073089e-23,9.50617268591635e-24,0.143997218560435,0.362414496999602
2019-07-01,1.26325699610151e-24,2.98406038887989e-25,5.67239457826499e-25,2.32563782426097e-24,6.64887958100572e-26,0.413531667254186,0.16081787823816,9.24731237168109e-24,4.80648047022734e-26,1.32379980833399e-24,2.21835836890688e-25,0.425650454507654,1.64342049523666e-24,2.08161492706324e-24,1.28201448693731e-24
2020-01-01,5.46107980510202e-24,1.05482533874851e-23,3.53331056913939e-24,1.20247145499535e-22,1.12424906914156e-24,0.493287324785199,0.0988273790400302,9.79401196317509e-23,8.82371317187456e-23,0.00846819810128113,2.89561016853656e-22,0.39941709807349,6.40183165812133e-22,1.13440022732483e-23,2.42914955420263e-23
2020-07-01,3.91207014121068e-26,1.21822392252865e-25,0.142663873742084,0.172856404632489,8.84319441766625e-22,0.469887576044763,4.05688661320885e-24,4.40445429883188e-23,6.2593431658605e-23,4.97836381583748e-23,3.20309768908885e-22,0.0302240309127846,3.80536387914265e-23,1.80120513851559e-23,0.184368114667879
2021-01-01,0.452228776517615,1.48199622001605e-23,0.348209771917761,1.06085127034582e-23,1.0682660184632e-23,0.156480045280628,1.15835579174481e-22,1.2998010946396e-23,2.31574741566839e-23,6.72463002688523e-24,5.9372145787653e-23,0.0259874647882266,1.91199580933786e-23,2.86085789128055e-23,0.017093941495769
2021-07-01,0.483116300045242,7.11259291146714e-21,0.291054769354028,9.53984017505086e-22,0.161224481846672,1.22503676240867e-18,0.0646044487540591,4.99840495152162e-22,5.47257903509748e-21,2.71073025110889e-21,5.25177119332835e-23,1.58737912855589e-21,2.31376511378795e-21,1.19117118939951e-22,1.89694353771225e-19
2022-01-01,4.16443796631094e-23,2.99575049728345e-21,0.299465176636915,3.46403784101619e-20,0.143249036378555,0.201420984093026,2.05454855005732e-21,0.233934829759277,6.42742984722194e-21,8.16772143966594e-20,2.66718397452233e-20,8.25136833538779e-21,0.121929973132227,1.64988866260607e-21,2.23252449175573e-22
2022-07-01,0.193035998126013,2.57484053250591e-24,1.08890968721892e-24,3.16417520254446e-23,0.128748089933728,1.78893388819529e-23,8.31737059587538e-25,2.09608256017713e-23,1.38407973795489e-24,7.30710999094904e-25,0.252717177129888,1.3265890763771e-24,0.42549873481037,3.45469641872504e-24,5.13131734779712e-24
2023-01-01,8.38480689981188e-17,7.33041040079828e-17,6.07508059374345e-22,3.19961253355629e-19,5.07978993899673e-17,1.08344586434874e-18,9.05871338150883e-22,1.35525271560688e-20,8.16245349688642e-22,4.06079871339002e-21,0.670780187342665,8.04450486586074e-17,0.329219812657335,4.28215207528148e-14,1.2489501552402e-18
2023-07-01,2.22445578723686e-21,1.07387558013711e-20,7.28296797339057e-21,0.875266406353921,8.90194699530958e-20,5.18031314440963e-20,3.04661381322451e-20,2.15741869832477e-21,6.31774947553593e-20,8.52933358084739e-20,0.0409022900342667,4.75267851468236e-20,0.0838313036118125,4.93525926666822e-17,3.81437270579878e-23
2024-01-01,2.24133937225078e-24,1.45629827956426e-25,4.3776384756909e-25,0.573695986354986,4.67640383068413e-25,2.4095450319511e-25,1.84868544015548e-24,2.08542137652748e-24,5.15227048464517e-24,0.0267078777899149,0.349484699872825,4.05230638157541e-25,7.64103368348941e-24,0.0501114359822748,2.83671332559812e-25
2024-07-01,1.20162623079684e-22,0.192797639145447,0.218997463098337,0.481927815174529,2.3946996841092e-22,2.14299711964852e-23,0.00860286542891179,9.68107546149848e-23,2.917216826214e-22,0.0923712375413223,0.00530297961145346,2.69649093622225e-23,3.34228021173267e-22,9.92544289499866e-23,4.27971018184203e-23
2025-01-01,0.0643733201565934,1.02046870683208e-19,0.245842543740448,0.347844035409886,0.15586850138874,0.0425391719024632,2.95350173267933e-24,1.50193820035298e-24,0.14353242740187,8.76364196022013e-25,1.29415012604531e-24,6.16062767805641e-24,4.42561583258278e-24,7.73294328630941e-25,7.52647142404818e-24
2025-07-01,0.0196265649088187,3.3304924477329e-22,0.155298289000242,4.39275101885088e-22,0.408911552657904,2.3435413476773e-25,1.03296228601427e-24,4.43486667565285e-21,0.416163593433036,5.2407037028115e-24,4.34422112652457e-25,1.1840951635764e-21,1.16449571846173e-24,1.22077270256171e-24,2.80676831833968e-24
